Boulingrin,Rouen,200243,1
Beauvoisine,200153,1
Gare-Rue-Verte,Gare,200976,1
Palais De Justice - Gisèle Halimi,Palais de Justice,Gisèle Halimi,201189,1
Théâtre des Arts,Théatre,TDA,202183,1
Joffre-Mutualité,Joffre,201148,1
Saint-Sever,202145,1
Europe,200862,2
Honoré de Balzac,Honoré,200119,2
Voltaire,202367,2
Garibaldi,200978,2
Hôtel de Ville de Sotteville,Hôtel de ville,Sotteville,202096,2
14 juillet,201173,2
Jean Zay,201136,2
Toit Familial,200876,2
Champ de Courses,200576,2
Ernest Renan,201841,2
Le parc,201637,2
Maryse Bastié,Maryse,Wallon,200134,2
Technopôle,technopole,INSA,université,202300,2
Avenue de Caen,200098,3
Jean Jaurès,201125,3
François Truffaut,202294,3
Place du 8 mai,8 mai,200000,3
Saint-Julien,201181,3
Charles de Gaulle,de Gaulle,200423,3
Provinces,201775,3
J.F Kennedy,Kennedy,JFK,201197,3
Léon Blum,Blum,201250,3
Paul Cézanne,200385,3
Georges Braque,200259,3
